Job Title,Employer Name,Budget,Proposal,Client_Location,Job Description
Social Networking App Development,No Employer Name Available,£18-36 GBP / hour,3 proposals,"Maidenhead,  United Kingdom","I'm embarking on a new venture and need a seasoned app developer to help bring my idea to life. This will be a social networking app with the following features:

- User profiles and connections: Users should be able to create profiles, connect with friends, and build their own network.
- Messaging and chat functionality: The app will need a robust, real-time messaging system for user interactions.
- Content sharing and feed: Users should be able to share content and have a personalized feed based on their connections.

The app will need to be developed for both iOS and Android. Experience with cross-platform mobile app development is highly desirable. Please include examples of any similar projects you've completed in your bid."
PDF to Editable Canva Doc Conversion,No Employer Name Available,£10-20 GBP,48 proposals,"Chesterfield,  United Kingdom","I need a professional to convert my PDF into an editable Canva document. The project includes:

- Making the text and images from the PDF editable in Canva.
- Preserving all text styles (fonts, sizes, colors) from the PDF in the Canva doc.

I want the attached PDF to be recreated in Canva - once done, I will inform the designer of which areas need to be 'locked down' so they are un-editable apart from by me"
No Title Available,No Employer Name Available,Not Disclosed,No Location Available,No Location Available,No Description Available
Financial Data Analysis in Excel,No Employer Name Available,$10-30 AUD,31 proposals,"Perth,  Australia","I'm looking for a skilled Excel professional who can assist me in analyzing my financial data. The main goal of this project is to generate comprehensive summary reports that can provide insights about my financial situation. 

Key Tasks:
- Conduct thorough analysis of my financial data using Excel
- Generate clear and concise summary reports based on the analysis

Ideal Skills and Experience:
- Proficient in Excel, with a strong emphasis on data analysis
- Experience working with financial data
- Excellent report writing skills, with the ability to present complex data in a clear and understandable manner.



just 3 pages report"
No Title Available,No Employer Name Available,Not Disclosed,No Location Available,No Location Available,No Description Available
Real Estate Salespersons Needed in India,No Employer Name Available,₹250000-500000 INR,Open for bidding,"Delhi,  India","We are seeking experienced freelancers to act as real estate salespersons for our fresh commercial and residential projects in Noida, Delhi, and Ghaziabad. 

Key Responsibilities:
- Engage in various sales activities, primarily tailored to the individual's strengths and compatibilities. These may include:
  - Cold calling
  - In-person meetings
  - Hosting open houses
- Focus on both commercial and residential properties

Ideal Candidate:
- Proven experience in direct sales, preferably in the real estate sector
- Exceptional communication and interpersonal skills
- Ability to adapt to various sales activities
- Familiarity with the Noida, Delhi, and Ghaziabad real estate market is a plus."
Event Footage Video Editing,No Employer Name Available,₹100-400 INR / hour,4 proposals,"Nashik,  India","I'm in need of a professional video editor to assist with editing my event footage. The primary focus will be on color correction to enhance the visual quality of the video. 

Ideal skills and experience for the job:
- Proficient in video editing software, particularly for color correction
- Experience with editing event footage
- Ability to enhance the overall visual quality of the video

Looking forward to seeing your bids."
Facebook ads,No Employer Name Available,₹12500-37500 INR,17 proposals,"Theethampatti,  India",I'm embarking on an exciting journey with IDP to develop a new product. The project is open-ended and I am looking for freelancers who are skilled in product development and can contribute innovative ideas and solutions.
I need a kotlin android developer who knows firebase backend,No Employer Name Available,₹600-601 INR,4 proposals,"Kota,  India","You don't have to write the code. I will give you the code and you have to just place it and create the APK

You will also need to setup firebase backend for the app."
Indonesian Language Translations LampungNyo 2,No Employer Name Available,$15-25 USD / hour,Open for bidding,"Plano,  United States","I am in need of translation services from Indonesian into LampungNyo .

Ideal Skills:
- Fluent in both Indonesian and LampungNyo 
- Exceptional translation skills
- Experience with formal, academic or professional content
- Familiarity with potential cultural nuances and ability to convey these in the translation"
No Title Available,No Employer Name Available,Not Disclosed,No Location Available,No Location Available,No Description Available
Flexible WooCommerce Subscription Implementation,No Employer Name Available,₹1500-12500 INR,33 proposals,"Bengaluru,  India","I would like to implement a subscription management and auto-renewal feature that operates as follows:

We have integrated custom start and end date picker on cart page so subscription logic should be implemented using those fields

Auto-Renewal and Cancellation: If a subscription reaches its end date and the user has not renewed it, the subscription status should automatically change to ""canceled."" The associated stock should then be returned to the inventory, making it available for others to purchase. They should also get reminders 7 days and 1 day prior renewal asking for renewal.

Admin Order Page Enhancements: On the admin side, the start and end dates for each subscription should be visible on the order page for better tracking and management.

User Account Dashboard Features: In the user's WooCommerce ""My Account"" dashboard, the following options should be available:

Manage Subscription: Users can view and manage their active subscriptions.

View Start and End Dates: Users can check the start and end dates of their subscriptions.

Auto-Renewal Settings: Users can enable or disable the auto-renewal feature for their subscriptions.

Cancel Subscription Option: Users can choose to cancel their subscription, which will set it to automatically cancel on the end date."
No Title Available,No Employer Name Available,Not Disclosed,No Location Available,No Location Available,No Description Available
Business Development Associate for E-commerce,No Employer Name Available,₹1500-12500 INR,2 proposals,"Ahmedabad,  India","I'm looking for an experienced Business Development Associate to drive lead conversion in the E-commerce sector. You will be primarily working with cold leads, so your ability to reach out, establish rapport, and ultimately close deals will be crucial. 

Key Responsibilities:
- Convert generated leads into customers through effective communication and negotiation
- Utilize CRM software for tracking, management and follow-up of leads
- Meet and exceed sales targets
- IVR calling

Skills and Experience:
- Proven experience in sales, preferably within the E-commerce industry
- Exceptional communication and negotiation skills
- Proficiency in CRM software
- Ability to work independently and as part of a team

- Must Be INDIAN"
